explanation,classified_category
"Switzerland provided a Nachtragskredit worth a total of 60 million CHF of direct in-kind humanitarian aid as well as financial aid to various humanitarian institutions in Ukraine and international organizations benefiting the people of Ukraine. There is no extensive list as to what amount went to which organization, other than the information that 60 million CHF are devoted directly to Ukraine (Reported in Source of Aid 4: three quarters of their total CHF 80 million budget; the remaining 20 million CHF are going to countries dealing with Ukrainian refugees including Poland and Moldova, which we do not include here as we measure direct support to Ukraine). To avoid underestimating the true extent of support to Ukraine, we include the entire amount of CHF 60 million as humanitarian aid. According to source of aid 2, the Nachtragskredit I amounts to CHF 71 million. Since we do not know if this is the amount comitted or disbursed nor if it is the amount provided for Ukraine or Ukraine and its neighboring countries we keep the CHF 60 million confirmed by sources of aid 1 and 4.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has provided just under CHF 100 million in funding to support Ukraine until August 10, 2022. Since, CHH1 is valued at 60 million CHF (60 million CHF for Ukraine, 20 million CHF for neighboring countries), the value of CHH2 is estimated to be 20 million CHF. On the goverment's desginated website (Source of Aid 2), it says that medical material worth 21.3 million CHF has been delivered from the Swiss Federal Department of Defence, Civil Protection and Sport since the beginning of the war. We assume that this corresponds to this entry and therefore use the value of 21.3 million CHF.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland will give 100 million CHF as Nachtragungskredit II Winterhilfe for projects to support the urgent rehabilitation of energy infrastructure and alleviate the precarious humanitarian situation. The aid is also intended to mitigate the impact of the cold season in Ukraine. According to Source of aid 3, the budget was passed in December 2022. ",Financial & Economic Aid
"According to Source of Aid 1, Switzerland will give 100 million CHF as Nachtragungskredit II Winterhilfe for projects to support the urgent rehabilitation of energy infrastructure and alleviate the precarious humanitarian situation. The aid is also intended to mitigate the impact of the cold season in Ukraine. According to Source of aid 3, the budget was passed in December 2022. ",Financial & Economic Aid
"According to Source of Aid 1, Switzerland will give 100 million CHF as Nachtragungskredit II Winterhilfe for projects to support the urgent rehabilitation of energy infrastructure and alleviate the precarious humanitarian situation. The aid is also intended to mitigate the impact of the cold season in Ukraine. According to Source of aid 3, the budget was passed in December 2022. ",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has doubled the budget of the Swiss international cooperation programme in Ukraine to CHF 50 million/year in 2022 and 2023. According to source of aid 3, the previous budget of the project accounted for CHF 27 million yearly. Therefore, assume that 50-27=23 million CHF have been added for 2022 and 2023, adding up to CHF 46 million.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has provided CHF 1.5 million for projects in the field of peace and human rights, with a focus on accountability and the protection of civilians. According to Source of Aid 3, this support is carried out through the ""Abteilung Frieden und Menschenrechte"" of the Federal Department of Foreign Affairs.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland intents to earmark 114 million CHF in humanitarian aid to Ukraine for multiple projects. Source of Aid 1 also mentions a total sum of 140 million CHF, but only 114 million CHF will go to Ukraine. ",Artillery & Heavy Weapons
"According to Source of Aid 1, Switzerland provides a demining package amounting to around CHF 1.2 million for Ukraine. It includes a demining machine developed and manufactured by the Swiss Digger Foundation as well as a truck, trailer and a spare parts package for three years. We assume that the package is part of the 2023 budget in CHH6.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland provides a demining package amounting to around CHF 1.2 million for Ukraine. It includes a demining machine developed and manufactured by the Swiss Digger Foundation as well as a truck, trailer and a spare parts package for three years. We assume that the package is part of the 2023 budget in CHH6.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland provides a demining package amounting to around CHF 1.2 million for Ukraine. It includes a demining machine developed and manufactured by the Swiss Digger Foundation as well as a truck, trailer and a spare parts package for three years. We assume that the package is part of the 2023 budget in CHH6.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has approved CHF 5.5 million to renovate and refurbish around 30 schools in Ukraine. The package is part of the 2023 budget in CHH6.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland will provide at least CHF 15 million to Ukraine for humanitarian mine action in 2023. We substract the CHF 1.2 million committed before and add CHF 13.8 million for this entry. We assume that the package is part of the 2023 budget in CHH6.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland spends around CHF 300 million to support Ukraine and its neighboring countries in 2023 and 2024. Out of this, CHF 140 million are spent in 2023 (CHF 114 million for Ukraine, see CHH6, the rest for Moldova). In this entry, we account for the remaining CHF 160 million to be spent in 2024. We do not know the exact division of spending for Ukraine and neighbouring countries in this case. Therefore, in line with our upper-bound rule, we assume that the full CHF 160 million will go to Ukraine. According to Source of Aid 2, the commitment was announced by Swiss minister for foreign affairs Inganzio Cassis on April 12, 2023.",Financial & Economic Aid
Switzerland will support the IAEA with 1 CHF million for its missions in Ukraine.,Financial & Economic Aid
Switzerland delivers winter preparation material to Ukraine. The value of the package is not given.,Uncategorised
"On 29 September 2023, the Swiss Federal Council approved a CHF 100 million package to demine civilian and agricultural areas in Ukraine and aid the country's recovery. The funding will be provided in equal shares by the Department of Defence, Civil Protection, and Sport (DDPS) and the Federal Department of Foreign Affairs (FDFA).",Financial & Economic Aid
"The Swiss Federal Council decided to grant the Geneva-based FSD (Fondation suisse de déminage) CHF 30 million for its work in Ukraine until 2027, underlining the importance of humanitarian demining for the reconstruction of Ukraine. These funds are allocated within the framework of the 100 million CHF committed in Septmber 2023 until 2027, and will be directed towards the Kharkiv and Kherson regions.",Financial & Economic Aid
Switzerland's State Secretariat for Economic Affairs commits CHF 10 million to the Ukraine Energy Support Fund by the Energy Community.,Financial & Economic Aid
"Switzerland contributes CHF 1.8 million to the UN Ukraine Humanitarian Fund, raising its total contribution to CHF 5.8 million. ",Financial & Economic Aid
"The Swiss Agency for Development and Cooperation is supporting the United Nations High Commissioner for Refugees' (UNHCR) winter aid programme with CHF 3 million. This support is aimed at refugees, providing cash assistance and household necessities such as sleeping bags, blankets and cooking utensils.",Financial & Economic Aid
"The Swiss Winter Aid package in total equals 30 million CHF. We reported specific allocations made under this package. However, we did not reach the total. Therefore, we report the rest here.",Financial & Economic Aid
"According to Source of Aid 1, the Ukrainian cities of Lviv and Vinnytsa need to replace parts of their tram fleets. They have asked Switzerland for support. The cities of Bern and Zurich are providing 11 and probably 67 decommissioned but fully operational trams respectively. The first trams, the 11 low-floor trams, are expected to be delievered in late summer 2024.",Uncategorised
"According to the source of Aid 1, Switzerland delivers to Kyiv further relief supplies. This is the first of three aid consignments in 2024, which made up of spare parts for fire engines, humanitarian demining equipment and medical supplies. This aid package is valued at around CHF 900 000 and provided from the stock of the Federal Department of Defence, Civil Protection and Sports (DDPS) and the city of Burgdorf in the Canton of Bern. ",Training & Logistics & Support
"According to the source of Aid 1, Switzerland delivers to Kyiv further relief supplies. This is the first of three aid consignments in 2024, which made up of spare parts for fire engines, humanitarian demining equipment and medical supplies. This aid package is valued at around CHF 900 000 and provided from the stock of the Federal Department of Defence, Civil Protection and Sports (DDPS) and the city of Burgdorf in the Canton of Bern. ",Training & Logistics & Support
"According to the source of Aid 1, Switzerland delivers to Kyiv further relief supplies. This is the first of three aid consignments in 2024, which made up of spare parts for fire engines, humanitarian demining equipment and medical supplies. This aid package is valued at around CHF 900 000 and provided from the stock of the Federal Department of Defence, Civil Protection and Sports (DDPS) and the city of Burgdorf in the Canton of Bern. ",Training & Logistics & Support
"According to Source of Aid 1, the project with the State Emergency Service of Ukraine (SESU) and Global Clearance Solutions (GCS) seeks to strengthen the mechanical demining capacities and capabilities of SESU to eneble them to carry out qualitative humanitarian demining. These needs are met by delivering, between 08/01/2024 and 07/31/2027, a comprehensive package consisting of three mechanical demining machines GCS-200. ",Uncategorised
"According to Source of Aid 1, by supporting the World Bank Health Enhancement and Lifesaving (HEAL) project, Switzerland contributes to alleviating the negative consequences of the war by restoring and improving access to essential healthcare - specifically services disrupted by the war - and by modernizing hospital care and support key health institutions. As a priority, HEAL addresses urgent needs for mental health and rehabilitation services. Switzerland will provide 10 million CHF by the end of 2024",Financial & Economic Aid
"Switzerland will deliver 30 rubble-clearing machines and 30 water pumps for firefighting. The DDPS (Federal Department of Defence, Civil Protection and Sport) has donated this equipment, valued at CHF 5.6 million.",Financial & Economic Aid
"Switzerland will deliver 30 rubble-clearing machines and 30 water pumps for firefighting. The DDPS (Federal Department of Defence, Civil Protection and Sport) has donated this equipment, valued at CHF 5.6 million.",Financial & Economic Aid
"Switzerland is helping Ukraine to cope with the challenges of winter with almost CHF 45 million. The funds will be used to restore energy infrastructure, renovate damaged homes and meet urgent humanitarian needs.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has reserved humanitarian funding of around CHF 1.5 billion for Ukraine in its IC strategy for the period 2025–28. According to Source of Aid 2, this was announced by Swiss minister for foreign affairs Ignazio Cassis on April 12, 2023. We assume that the amount is going to be split equally over the years 2025, 2026, 2027 and 2028, CHF 375 million per year.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has reserved humanitarian funding of around CHF 1.5 billion for Ukraine in its IC strategy for the period 2025–28. According to Source of Aid 2, this was announced by Swiss minister for foreign affairs Ignazio Cassis on April 12, 2023. We assume that the amount is going to be split equally over the years 2025, 2026, 2027 and 2028, CHF 375 million per year.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has reserved humanitarian funding of around CHF 1.5 billion for Ukraine in its IC strategy for the period 2025–28. According to Source of Aid 2, this was announced by Swiss minister for foreign affairs Ignazio Cassis on April 12, 2023. We assume that the amount is going to be split equally over the years 2025, 2026, 2027 and 2028, CHF 375 million per year.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has reserved humanitarian funding of around CHF 1.5 billion for Ukraine in its IC strategy for the period 2025–28. According to Source of Aid 2, this was announced by Swiss minister for foreign affairs Ignazio Cassis on April 12, 2023. We assume that the amount is going to be split equally over the years 2025, 2026, 2027 and 2028, CHF 375 million per year.",Financial & Economic Aid
Switzerland donates 3 CHF million to Partnership Fund for a Resilient Ukraine (PFRU).,Financial & Economic Aid
"During the Ukraine Recovery Conference, 2022, in Lugano, the creation of the Ukraine Relief, Recovery, and Reconstruction Trust Fund (URTF) was announced. It was also mentioned that the founding donation will be done by Switzerland without indicating the amount. Later, on the World Bank overview page, it was specified that the donation provided by Switzerland was 58 USD million. Source of aid 3, however, reports different values. ",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has provided CHF 23 million in budget support to Ukraine. Since the financial aid was undisclosed before and the source got released in December 2022, we quantify this donation as having been announced in December. According to Source of Aid 3 and 4, CHF 22 million have been finally contributed through World Bank initiatives.",Financial & Economic Aid
"According to Source of Aid 1, Switzerland has provided CHF 15 million as grant to the HORIZON fond in Ukraine that supports Tech Start ups. ",Financial & Economic Aid
The overview page of World Bank updated the amount of aid provided by Switzerland to PEACE fund increased to 32 USD million. We report the difference with the previous entry we assigned for the PEACE.,Financial & Economic Aid
"Switzerland is preparing to support an Eastern Europe Energy Efficiency and Environment Partnership Fund (E5P) with over 20 million CHF. This fund is managed by the European Bank for Reconstruction and Development (EBRD) and will provide grants for the modernization and restoration of municipal infrastructure in Ukraine, with a focus on energy efficiency. Source of Aid 1 consider this project in conjunction with another and therefore values the amount of both projects as 41 million CHF; however, in Source of Aid 2, it is explicited how the value of the project related to this entry is ""over 20 million CHF"".",Financial & Economic Aid
"The Press release of the Swiss government dated June, 26 2024 (Source of Aid 1) announces that ,through the Partnership Fund for a Resilient Ukraine (PRFU), the Swiss Agency for Development and Cooperation (SDC) is supporting the civilian population in Eastern Ukraine, particularly near the front line. It continues saying that Switzerland has since suppported it with 8 million CHF and that the Federal Council has committed to 25 million CHF to the fund for the 2024-2027 period. Since this dataset had already registered 3 million CHF into the PRFU, this entry will code the remaining 5 million CHF to align to the Swiss official data. The next entries will be dedicated to the coding of the 25 million CHF divided equally for the time frame 2024-2027. ",Financial & Economic Aid
"The Federal Council is asking Parliament for a guarantee credit of CHF 96.11 million in order to participate in the capital increase of the EBRD, which will be used in particular for the reconstruction of Ukraine.",Financial & Economic Aid
"The Press release of the Swiss government dated June, 26 2024 (Source of Aid 1) announces that ,through the Partnership Fund for a Resilient Ukraine (PRFU), the Swiss Agency for Development and Cooperation (SDC) is supporting the civilian population in Eastern Ukraine, particularly near the front line. It continues saying that Switzerland has since suppported it with 8 million CHF and that the Federal Council has committed to 25 million CHF to the fund for the 2024-2027 period. Since this dataset had already registered 3 million CHF into the PRFU, entry CHF7 codes the remaining 5 million CHF to align with the Swiss official data. This and the next entries will be dedicated to the coding of the 25 million CHF divided equally for the time frame 2024-2027. Here reported the 2024 value.",Financial & Economic Aid
"The Press release of the Swiss government dated June, 26 2024 (Source of Aid 1) announces that ,through the Partnership Fund for a Resilient Ukraine (PRFU), the Swiss Agency for Development and Cooperation (SDC) is supporting the civilian population in Eastern Ukraine, particularly near the front line. It continues saying that Switzerland has since suppported it with 8 million CHF and that the Federal Council has committed to 25 million CHF to the fund for the 2024-2027 period. Since this dataset had already registered 3 million CHF into the PRFU, entry CHF7 codes the remaining 5 million CHF to align with the Swiss official data. This and the entries will be dedicated to the coding of the 25 million CHF divided equally for the time frame 2024-2027. Here reported the 2025 value.",Financial & Economic Aid
"The Press release of the Swiss government dated June, 26 2024 (Source of Aid 1) announces that ,through the Partnership Fund for a Resilient Ukraine (PRFU), the Swiss Agency for Development and Cooperation (SDC) is supporting the civilian population in Eastern Ukraine, particularly near the front line. It continues saying that Switzerland has since suppported it with 8 million CHF and that the Federal Council has committed to 25 million CHF to the fund for the 2024-2027 period. Since this dataset had already registered 3 million CHF into the PRFU, entry CHF7 codes the remaining 5 million CHF to align with the Swiss official data. This and the next entries will be dedicated to the coding of the 25 million CHF divided equally for the time frame 2024-2027. Here the 2026 value.",Financial & Economic Aid
"The Press release of the Swiss government dated June, 26 2024 (Source of Aid 1) announces that ,through the Partnership Fund for a Resilient Ukraine (PRFU), the Swiss Agency for Development and Cooperation (SDC) is supporting the civilian population in Eastern Ukraine, particularly near the front line. It continues saying that Switzerland has since suppported it with 8 million CHF and that the Federal Council has committed to 25 million CHF to the fund for the 2024-2027 period. Since this dataset had already registered 3 million CHF into the PRFU, entry CHF7 codes the remaining 5 million CHF to align with the Swiss official data. This and the next entries will be dedicated to the coding of the 25 million CHF divided equally for the time frame 2024-2027. Here the 2027 value.",Financial & Economic Aid
"On February 3, 2022, the President of Turkiye and the Prime Minister of Ukraine signed an agreement on the co-production of Bakar Bayraktar TB2 armed drones​ in Ukrainian territory. Financial details remained undisclosed.",Artillery & Heavy Weapons
"According to source of aid 1, Turkiye has delivered 50 used mine-resistant, ambush-protected vehicles to the Ukraine. The delivery of the Kirpi vehicles was the result of a government agreement. According to source of aid 3, 150 more Kirpi vehicles are expected to be delivered, adding up to 200 vehicles committed.",Artillery & Heavy Weapons
"Turkiye has reportedly provided a Humanitarian Aid convoy to Ukraine, carrying 1.536 food packages, 240 family tents, 1.680 blankets, 200 beds and 18 general purpose tents.",Uncategorised
"Turkiye has reportedly provided a Humanitarian Aid convoy to Ukraine, carrying 1.536 food packages, 240 family tents, 1.680 blankets, 200 beds and 18 general purpose tents.",Uncategorised
"Turkiye has reportedly provided a Humanitarian Aid convoy to Ukraine, carrying 1.536 food packages, 240 family tents, 1.680 blankets, 200 beds and 18 general purpose tents.",Uncategorised
"Turkiye has reportedly provided a Humanitarian Aid convoy to Ukraine, carrying 1.536 food packages, 240 family tents, 1.680 blankets, 200 beds and 18 general purpose tents.",Uncategorised
"Turkiye has reportedly provided a Humanitarian Aid convoy to Ukraine, carrying 1.536 food packages, 240 family tents, 1.680 blankets, 200 beds and 18 general purpose tents.",Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
Turkiye has sent 43 trucks of humanitarian aid and a mobile food truck for the people of Ukraine. Detailed information on the items sent is listed in Source of Aid 2. We subtract the items already sent in TRH1.,Uncategorised
"Since March 20, the mobile food truck of the AFAD Türkyie (Ministry of Interior Disaster and Emergency Management Authority)  has been distributing hot meals in various Ukrainian cities, such as Borodyianka and Lviv. The value of the aid is not quantifiable.",Uncategorised
"According to source of aid 1, the number of trucks of humanitarian aid Tukey has sent increased to 98, plus the mobile food truck. Given the lack of more specific information, the monetary value of the shipment cannot be calculated.",Uncategorised
"27 tons of medical supplies were delivered to Ukraine on February 28th, 2022 , a white paper from the Taiwanese federal government revealed after almost 2 years.",Training & Logistics & Support
Donation worth 3 million USD to the city of Kiev. A government white paper on aid activities to Ukraine later confirmed the numbers.,Financial & Economic Aid
Donation worth 5 million USD directed to hospitals in affected cities. A government white paper on aid activities to Ukraine later confirmed the numbers.,Financial & Economic Aid
Donation worth 500k to EBRD. A government white paper on aid activities to Ukraine later confirmed the numbers.,Uncategorised
Donation of 800k  to hospital in Lviv. A government white paper on aid activities to Ukraine later confirmed the numbers.,Uncategorised
Donation worth 2 million USD directed to Kharkiv for schools and infrastructure. A government white paper on aid activities to Ukraine later confirmed the numbers.,Financial & Economic Aid
"Donation worth 500000 USD, directed to humanitarian assistance in Chernihiv. A government white paper on aid activities to Ukraine later confirmed the numbers.",Financial & Economic Aid
"Donation worth 500000 USD, directed to humanitarian assistance in Mykolaiv. A government white paper on aid activities to Ukraine later confirmed the numbers.",Financial & Economic Aid
"Donation worth 500000 USD, directed to humanitarian assistance in Sumy. A government white paper on aid activities to Ukraine later confirmed the numbers.",Financial & Economic Aid
"Donation worth 500000 USD, directed to humanitarian assistance in Zaporizhzhia. A government white paper on aid activities to Ukraine later confirmed the numbers.",Financial & Economic Aid
"Donation worth 500000 USD, directed to humanitarian assistance in Bucha. According to ""Source of Aid 1"", Taiwan has donated a total amount of 13,2 million USD (besides the 500000 USD newly committed to Bucha). Since we discard the 1,2 million USD donated to the Orthodox church for the reconstruction of churches in Ukraine, we only count 12 million USD (see TWH1 -TWH8).",Financial & Economic Aid
"Foreign Minister Jaushieh Joseph Wu announced a US$56 million donation on behalf of the government and people of Taiwan. The donation will be used to support Ukraine to rebuild schools, hospitals and fundamental infrastructure. According to Source of Aid 3, this amount is equivalent to Taiwan's humanitarian budget in 2023. We assume that following humanitarian entries until the end of 2023 are part of this budget.",Financial & Economic Aid
"According to source of aid 1, Foreign Minister Jaushieh Joseph Wu signed a memorandum of understanding to assist the Ukrainian capital of Kyiv in purchasing power generation equipment. The Ministry of Foreign Affairs will donate US$1 million for Kyiv to procure emergency power generation equipment, including diesel and gasoline generators.",Financial & Economic Aid
"According to source of aid 1, Minister of Foreign Affairs Jaushieh Joseph Wu signed memorandums of understanding to assist Kharkiv, Mykolaiv, and Kherson with US$2 million for the purchase of power generation and heating equipment.",Financial & Economic Aid
"According to Source of Aid 1, Taiwan will donate US$5 million to a project led by Lithuania’s Central Project Management Agency to assist with reconstruction efforts in Ukraine.",Financial & Economic Aid
"According to Source of Aid 1, Taiwan signed a Memorandum of Understanding to facilitate Taiwan’s donation of US$2.5 million toward building a bridge allowing access to the city’s Obolonsky Island.",Financial & Economic Aid
"According to Source of Aid 1, Taiwan has pledged US$4 million to support social welfare projects and medical services in Ukraine, the Polish Center for International Aid, which received the funds, announced.",Financial & Economic Aid
"Taiwan donates 600,000 USD to Ukraine for reconstruction agreement in Bucha city",Financial & Economic Aid
"Lithuania and Taiwan have jointly financed the reconstruction of a kindergarten in Borodyanka for a total of 500,000 euros. We assume the amount is evenly split.",Financial & Economic Aid
"Lithuania and Taiwan have jointly financed the reconstruction of a kindergarten in Borodyanka for a total of 500,000 euros. We assume the amount is evenly split.",Financial & Economic Aid
"On November 4, 2024, Taiwanese Representative Office in Lithuania announced that Taiwan has signed a new Memorandum of Understanding (MoU) with Lithuania, committing an additional USD 5 million to Lithuania-led Ukraine reconstruction projects. This partnership, announced at the Development and Cooperation Conference in Vilnius, supports critical projects in education, rehabilitation of war veterans, and training for safe handling of explosives.",Ammunition & Explosives
"On December 28, 2024, during the meeting with the Mayor of Lviv, Taiwan's Foreign Minister Lin Jialong announced that Taiwan will fund for the Reconstruction of UNBROKEN Medical Park, a rehabilitation center in Lviv (Source of Aid 1). On the following day, Taipei Times, a Taiwanese media outlet, reports Taiwan provide USD 5 million for this aid (Source of Aid 2).",Financial & Economic Aid
"On December 14, 2024, Taiwan's Ministry of Foreign Affairs announced a donation of 4 million euros to the Ukraine Recovery and Reconstruction Guarantee Facility (URGF), EBRD's newly established guarantee scheme (Source of Aid 1). According to the EBRD's press release, this contribution was made through the TaiwanBusiness-EBRD Technical Cooperation Fund (Source of Aid 2).",Financial & Economic Aid
Humanitarian assistance via equipment and grants.,Uncategorised
"Humanitarian assistance via equipment and grants. Out of the 80 million GBP reported in ""Source of Aid 1"" we do not count 40 million GBP, since they have been allocated to international organisations which are not explicitly active in Ukraine (see ""Source of Aid 3""). The 120 million GBP reported in ""Source of Aid 1"" are made out of the 80 million GBP (out of which we don't count the 40 million GBP to international organisations) reported in ""Source of Aid 1"", and of the the 40 million GBP in UKH1.",Financial & Economic Aid
Humanitarian assistance via equipment and grants. ,Uncategorised
UK government to donate generators to provide vital power for Ukraine. Source of aid 1 reports the initial number of generators. Source of aid 2 reports an increase in this amount. Source of aid 3 specifis the monetary value of this package.,Uncategorised
"10 million GBP civil society fund launched by the government, directed to organizations in Ukraine supporting civilians, including victims of conflict-related sexual violence. ",Financial & Economic Aid
10 GBP million in materials and equipment to Ukraine Railways to repair rail infrastructure and help get grain out of the country by rail,Financial & Economic Aid
£5 million support fund for providing safety and security equipment to Ukraine's civil nuclear sector,Financial & Economic Aid
"The State Emergency Service of Ukraine received 9 firetrucks from the Government of Great Britain and Northern Ireland took place in Lviv on Thursday, October 27",Uncategorised
£10 million to the Ukraine Energy Support Fund,Financial & Economic Aid
The UK has announced up to 10 GBP million in funding to support a new UK-Polish partnership which will provide shelter and power for Ukrainians displaced by Russian attacks.,Financial & Economic Aid
"The UK is to provide GBP 240 million of additional aid to Ukraine. Source of aid 2 stated that it would be allocated for humanitarian support, disaster relief kits, mine-clearance, and energy projects. We also do not exclude GBP 20 million, which is considered a boost for insurance for companies operating in Ukraine, unlocking a crucial flow of private investment (Source of aid 3). It is not specified whether this investment will go to Ukrainian companies or British ones.
Two days later, different ministries specified which aid is to be provided, so we report these entries separately. Later in July, it was specified that around GBP 127 million from this GBP 240 million  would go to humanitarian needs via the Red Cross and the UN. Additionally, it includes GBP 16 million in aid to address widespread needs in Ukraine, including supporting people affected by the destruction of the Nova Kakhovka dam (Source of aid 4, p.11, see also the reference from this source). Here we report the GBP 127 million part of the package, of which GBP 111 million went to the UN and Red Cross, and GBP 16 million to deal with damage caused by the destruction of the Nova Kakhovka dam. We also assume that this GBP 127 million package is exactly the Ukraine Emergency Winter Preparedness plan that the UK started implementing in October 2023.",Financial & Economic Aid
"UK to provide 16 million GBP in humanitarian aid for Ukraine to address widespread needs in Ukraine, including to support people affected by the destruction of the Nova Kakhovka dam.",Financial & Economic Aid
"U.K. Foreign Secretary David Cameron is set to declare a humanitarian aid contribution of 7.75 GBP million pounds for Ukraine. This announcement precedes his imminent visit to the U.S., where he commited 29 GBP million, effectively augmenting the total allocation for the new winter humanitarian response package to 36.8 GBP million. Since both donations were made at the same day, we report them together. The donations should be made via UN and Red Cross. This entry records the approximately GBP 14.5 million going to the UN Ukraine Humanitarian Fund of the OCHA.",Financial & Economic Aid
"U.K. Foreign Secretary David Cameron is set to declare a humanitarian aid contribution of 7.75 GBP million pounds for Ukraine. This announcement precedes his imminent visit to the U.S., where he commited 29 GBP million, effectively augmenting the total allocation for the new winter humanitarian response package to 36.8 GBP million. Since both donations were made at the same day, we report them together. The donations should be made via UN and Red Cross. This entry records the remaining GBP 22.3 million.",Financial & Economic Aid
United Kingdom is to provide GBP 34 million for the UN and charities providing shelter and warm winter clothing.,Artillery & Heavy Weapons
United Kingdom is to provide GBP 10 million for household electricity. ,Financial & Economic Aid
"The UK is to provide 240 GBP of additional aid to Ukraine. Source of aid 2 stated that it would be allocated for humanitarian support, disaster relief kits, mine-clearance, and energy projects. We also do not exclude 20 million GBP, which is considered a boost for insurance for companies operating in Ukraine, unlocking a crucial flow of private investment (Source of aid 3). It is not specified whether this investment will go to Ukrainian companies or British ones.
Two days later, different ministries specified which aid is to be provided, so we report these entries separately. Later in July, it was specified that around 127 million GBP from this 240 million GBP would go to humanitarian needs via the Red Cross and the UN. Additionally, it includes 16 million GBP in aid to address widespread needs in Ukraine, including supporting people affected by the destruction of the Nova Kakhovka dam (Source of aid 4, p.11, see also the reference from this source). Here, we report the remainder of the 240 million GBP package, presenting the information disclosed by various ministries. However, when summarizing individual entries under this donation, the resulting figure is slightly higher than the initial 114 million GBP (240-127=114). Nonetheless, we assume this discrepancy is due to rounding and adhere to our upper-bound rule by reporting the higher number.",Financial & Economic Aid
UK to provide 26.3 GBP million equivalent loan for reconstruction of Kyiv bridges,Financial & Economic Aid
UK to provide 1.5 GBP million to the Government of Ukraine’s digital system for reconstruction management to increase the transparency of reconstruction projects,Financial & Economic Aid
"UK to provide GBP 62 million in UK support to Ukraine’s energy sector, with a 10 GBP million Innovate Ukraine Green Energy Innovations Challenge Fund and GBP 25 million to the International Finance Corporation (IFC) Ukraine Economic Resilience Action platform to bolster Ukraine’s energy security. This entry records the GBP 25 million going to the IFC.",Financial & Economic Aid
"UK to provide GBP 62 million in UK support to Ukraine’s energy sector, with a 10 GBP million Innovate Ukraine Green Energy Innovations Challenge Fund and GBP 25 million to the International Finance Corporation (IFC) Ukraine Economic Resilience Action platform to bolster Ukraine’s energy security. This entry records the GBP 10 million going to the Innovate Ukraine Green Energy Innovations Challenge Fund.",Financial & Economic Aid
"UK to provide GBP 62 million in UK support to Ukraine’s energy sector, with a 10 GBP million Innovate Ukraine Green Energy Innovations Challenge Fund and GBP 25 million to the International Finance Corporation (IFC) Ukraine Economic Resilience Action platform to bolster Ukraine’s energy security. This entry records the remaining GBP 27 million.",Financial & Economic Aid
UK to provide 25 GBP million in UK funding to bolster Ukraine’s cyber defences,Financial & Economic Aid
"The United Kingdom will provide Ukraine's fire and rescue services with 17 specialized fire trucks, mostly from the Royal Air Force and the Defense Fire and Rescue Service, with one provided by the Welsh government.",Uncategorised
